case,hour,category,count,denominator,fraction
SZ_Air,22,remove_rule,0,3,0.0
SZ_Air,22,move_rule,0,3,0.0
SZ_Air,22,explicit_no_change,3,3,1.0
SZ_Air,22,deterministic_rejection,0,3,0.0
SZ_Air,22,schema_fallback,0,3,0.0
SZ_Air,23,set_param,0,3,0.0
SZ_Air,23,add_rule,0,3,0.0
SZ_Air,23,replace_rule,0,3,0.0
SZ_Air,23,remove_rule,0,3,0.0
SZ_Air,23,move_rule,0,3,0.0
SZ_Air,23,explicit_no_change,3,3,1.0
SZ_Air,23,deterministic_rejection,0,3,0.0
SZ_Air,23,schema_fallback,0,3,0.0
SZ_Air,24,set_param,0,3,0.0
SZ_Air,24,add_rule,0,3,0.0
SZ_Air,24,replace_rule,0,3,0.0
SZ_Air,24,remove_rule,0,3,0.0
SZ_Air,24,move_rule,0,3,0.0
SZ_Air,24,explicit_no_change,3,3,1.0
SZ_Air,24,deterministic_rejection,0,3,0.0
SZ_Air,24,schema_fallback,0,3,0.0
SZ_Air,25,set_param,0,3,0.0
SZ_Air,25,add_rule,0,3,0.0
SZ_Air,25,replace_rule,0,3,0.0
SZ_Air,25,remove_rule,0,3,0.0
SZ_Air,25,move_rule,0,3,0.0
SZ_Air,25,explicit_no_change,3,3,1.0
SZ_Air,25,deterministic_rejection,0,3,0.0
SZ_Air,25,schema_fallback,0,3,0.0
SZ_Air,26,set_param,0,3,0.0
SZ_Air,26,add_rule,0,3,0.0
SZ_Air,26,replace_rule,0,3,0.0
SZ_Air,26,remove_rule,0,3,0.0
SZ_Air,26,move_rule,0,3,0.0
SZ_Air,26,explicit_no_change,3,3,1.0
SZ_Air,26,deterministic_rejection,0,3,0.0
SZ_Air,26,schema_fallback,0,3,0.0
SZ_Air,27,set_param,0,3,0.0
SZ_Air,27,add_rule,0,3,0.0
SZ_Air,27,replace_rule,0,3,0.0
SZ_Air,27,remove_rule,0,3,0.0
SZ_Air,27,move_rule,0,3,0.0
SZ_Air,27,explicit_no_change,3,3,1.0
SZ_Air,27,deterministic_rejection,0,3,0.0
SZ_Air,27,schema_fallback,0,3,0.0
SZ_Air,28,set_param,0,3,0.0
SZ_Air,28,add_rule,0,3,0.0
SZ_Air,28,replace_rule,0,3,0.0
SZ_Air,28,remove_rule,0,3,0.0
SZ_Air,28,move_rule,0,3,0.0
SZ_Air,28,explicit_no_change,3,3,1.0
SZ_Air,28,deterministic_rejection,0,3,0.0
SZ_Air,28,schema_fallback,0,3,0.0
SZ_Air,29,set_param,0,3,0.0
SZ_Air,29,add_rule,0,3,0.0
SZ_Air,29,replace_rule,0,3,0.0
SZ_Air,29,remove_rule,0,3,0.0
SZ_Air,29,move_rule,0,3,0.0
SZ_Air,29,explicit_no_change,3,3,1.0
SZ_Air,29,deterministic_rejection,0,3,0.0
SZ_Air,29,schema_fallback,0,3,0.0
SZ_Air,30,set_param,0,3,0.0
SZ_Air,30,add_rule,0,3,0.0
SZ_Air,30,replace_rule,0,3,0.0
