"case","configuration","n","reward_mean","reward_sd","reward_values","cost_mean","cost_sd","cost_values","energy_kwh_mean","energy_kwh_sd","energy_kwh_values","zone_h_mean","zone_h_sd","zone_h_values","pmv_h_mean","pmv_h_sd","pmv_h_values","occupied_peak_abs_pmv_mean","occupied_peak_abs_pmv_sd","occupied_peak_abs_pmv_values","tv_c_mean","tv_c_sd","tv_c_values","reversals_mean","reversals_sd","reversals_values","v_state_c_mean","v_state_c_sd","v_state_c_values","r_int_fraction_mean","r_int_fraction_sd","r_int_fraction_values","total_ktokens_per_control_hour_mean","total_ktokens_per_control_hour_sd","total_ktokens_per_control_hour_values","effective_llm_latency_s_per_control_hour_mean","effective_llm_latency_s_per_control_hour_sd","effective_llm_latency_s_per_control_hour_values","api_cost_usd_per_run_mean","api_cost_usd_per_run_sd","api_cost_usd_per_run_values","retries_per_control_hour_mean","retries_per_control_hour_sd","retries_per_control_hour_values","fallbacks_per_control_hour_mean","fallbacks_per_control_hour_sd","fallbacks_per_control_hour_values","peak_pmv_exceedance_count"
"MZ_Hydro","B1_WM0","3","-182.79699853270893","7.211204610038754","-191.080301075|-179.391313411|-177.919381112","114.92338799502818","3.998055250968409","119.311599095|111.487449809|113.971115081","750.420492930355","24.756364742276034","777.630241013|729.226165536|744.405072241","12.333333333333334","2.4664414311581235","13.5|14|9.5","0.4458333333333336","0.09894232326630163","0.49|0.515|0.3325","0.61","0.036055512754639925","0.62|0.64|0.57","133.72666666666677","3.941590203627615","132.7|138.08|130.4","156.66666666666666","3.0550504633038935","160|156|154","0.015500694444444433","0.007988011286999467","0.0241605902778|0.00842065972222|0.0139208333333","0.001388888888888889","0.0024056261216234406","0.00416666666667|0|0","21.974613888888886","0.3665587142537615","22.230925|22.1381666667|21.55475","81.3153133649978","24.24860590476628","98.3560865942|92.0356108375|53.5542426633","0.5670595","0.011639255461703737","0.57472744|0.57278452|0.55366654","0.008333333333333333","0.014433756729740645","0.025|0|0","0.07222222222222223","0.00962250448649376","0.0833333333333|0.0666666666667|0.0666666666667","0"
"MZ_Hydro","B2_WM2","3","-173.34588874304916","1.2482467506233823","-172.652776984|-172.597996351|-174.786892893","113.17373767325499","0.8244837759995417","112.527851527|112.890960669|114.102400823","740.0752773883877","4.866282695102071","736.0357317|738.712409217|745.477691249","5.666666666666667","1.506928443335427","5.5|4.25|7.25","0.1591666666666668","0.023629078131263085","0.1675|0.1325|0.1775","0.5733333333333334","0.011547005383792462","0.56|0.58|0.58","108.67333333333342","10.911303008043241","114.26|96.1|115.66","108.0","18.33030277982336","124|88|112","0.028262702546297105","0.007542277347367836","0.0206907986111|0.035775|0.0283223090278","0.0","0.0","0|0|0","30.838733333333334","0.652461737437104","31.44185|30.9281916667|30.1461583333","61.54930447360878","11.535055633709407","61.0616904358|73.3204348108|50.2657881742","0.7137581266666667","0.01991398355158838","0.72994782|0.71980496|0.6915216","0.002777777777777778","0.004811252243246881","0|0|0.00833333333333","0.13333333333333333","0.03818813079129866","0.175|0.1|0.125","0"
"MZ_Hydro","B3_WM3","3","-176.9048387522373","0.9857415956977607","-175.849836859|-177.802359628|-177.062319769","114.38114612604711","1.4302245620939733","112.805164589|114.741639593|115.596634197","748.9254820935201","9.35933903085936","738.459310775|751.825828904|756.491306602","5.583333333333333","1.8427786989579984","6.25|7|3.5","0.20583333333333345","0.06825198409814429","0.2375|0.2525|0.1275","0.5933333333333333","0.025166114784235853","0.62|0.57|0.59","110.47333333333341","7.655281401315928","118.94|108.44|104.04","97.0","30.116440692751194","130|90|71","0.02500989583333257","0.008419300624528584","0.0248369791667|0.0335143229167|0.0166783854167","0.00034722222222222224","0.0006014065304058602","0|0|0.00104166666667","34.80883055555555","0.40948736162268184","34.6973416667|34.4666333333|35.2625166667","61.67952290361086","7.12569996196145","56.3497196833|69.7730982167|58.9157508108","0.7749659866666668","0.01244091474248309","0.77306054|0.76358772|0.7882497","0.008333333333333333","0.014433756729740645","0|0|0.025","0.09722222222222222","0.034694433324435545","0.108333333333|0.0583333333333|0.125","0"
"MZ_Hydro","B4_CausalOff","3","-178.86991302946808","6.895030795303133","-175.187684093|-186.824319754|-174.597735241","110.86930714803425","3.2273629489407276","114.473552471|108.246859341|109.887509632","724.4669103835391","22.421588551889187","749.558749159|706.395834588|717.446147404","9.666666666666666","3.1754264805429417","6|11.5|11.5","0.3950000000000002","0.22603926650031408","0.1575|0.6075|0.42","0.61","0.05196152422706637","0.58|0.67|0.58","108.37000000000002","18.957708194821432","86.51|120.3|118.3","111.33333333333333","6.110100926607787","110|118|106","0.042792187500001376","0.009437259911957454","0.0533065104167|0.0350553819444|0.0400146701389","0.0062499999999999995","0.003755782578608322","0.00520833333333|0.0104166666667|0.003125","24.79166388888889","0.26176303749942625","24.7508583333|24.5527|25.0714333333","70.32113667638957","6.909192604266859","69.3225395517|77.6752908375|63.96557964","0.6016250333333334","0.008267674082989361","0.60183886|0.59325252|0.60978372","0.008333333333333333","0.014433756729740645","0.025|0|0","0.05833333333333333","0.01443375672974064","0.075|0.05|0.05","0"
"MZ_Hydro","B5_MissingSolarZoneEdge","3","-204.2000393098601","51.23443419605522","-178.766668001|-170.658482831|-263.174967098","118.45403392211783","7.548255213838554","117.091825355|111.679640393|126.590636019","773.4964808459081","47.91375766901266","763.645452171|731.273865852|825.570124515","5.666666666666667","3.1655699855370965","3.25|4.5|9.25","0.48","0.6193343200566233","0.11|0.135|1.195","0.6133333333333333","0.07505553499465135","0.57|0.57|0.7","112.13266666666671","7.577828272884903","120.858|108.34|107.2","74.0","33.15116890850155","89|97|36","0.02286267939814761","0.0017148022441241069","0.0210057465278|0.0231958333333|0.0243864583333","0.001736111111111111","0.0030070326520293005","0|0|0.00520833333333","26.891972222222222","0.8000340643933935","26.396575|26.4644|27.8149416667","78.57415191555619","7.746438520556103","83.7635794517|82.2889302933|69.6699460017","0.6624101400000001","0.035038944619334635","0.64407098|0.64034698|0.70281246","0.008333333333333333","0.008333333333333333","0.0166666666667|0.00833333333333|0","0.11388888888888889","0.07561476438231222","0.0833333333333|0.0583333333333|0.2","0"
"MZ_Hydro","B6_EdgeTiming","3","-174.1147800211892","1.3310451945565138","-172.747283725|-174.190953712|-175.406102626","113.47717796745947","0.8289042505658353","112.520171519|113.969328538|113.942033845","741.8444341306595","5.58144859984106","735.589406519|743.627128004|746.316767869","4.75","2.1360009363293826","4.5|2.75|7","0.15416666666666673","0.056254629439125604","0.155|0.0975|0.21","0.5766666666666667","0.011547005383792526","0.57|0.59|0.57","107.20000000000005","6.841607998124442","100.14|113.8|107.66","91.33333333333333","6.110100926607787","90|98|86","0.033475173611111846","0.006492755962710876","0.0402689236111|0.0273324652778|0.0328241319444","0.0010416666666666667","0.0018042195912175807","0|0.003125|0","26.779308333333336","0.33988354327050235","26.4461333333|26.7662666667|27.125525","80.95892173500066","15.121372364018752","90.5236813025|88.8273297917|63.5257541108","0.6551124066666668","0.012639664959805412","0.64420776|0.65216368|0.66896578","0.008333333333333333","0.008333333333333333","0.0166666666667|0|0.00833333333333","0.09722222222222221","0.031549490810001524","0.0833333333333|0.075|0.133333333333","0"
"MZ_Hydro","B7_CoordOff","3","-215.88076827284632","55.99235457405588","-190.459660664|-177.108613944|-280.07403021","114.68224122911977","0.1669580143919145","114.51858402|114.852315043|114.675824625","749.6332000188978","2.8728341552712577","746.32294477|751.101689691|751.474965596","10.75","7.206767652699787","4.25|9.5|18.5","0.8075000000000001","0.9338462132492695","0.305|0.2325|1.885","0.6933333333333334","0.07637626158259735","0.71|0.61|0.76","132.8333333333334","42.74884014021121","124.6|94.8|179.1","105.33333333333333","14.742229591663987","100|94|122","0.021918489583332274","0.0065649916576455145","0.0144505208333|0.024525|0.0267799479167","0.012847222222222223","0.017931599074549106","0.00520833333333|0|0.0333333333333","20.10491111111111","0.31774313714650737","20.27565|20.3007833333|19.7383","39.42573252277788","5.884223677736843","39.8638167942|45.078670455|33.3347103192","0.47966972666666674","0.011395977423114424","0.488376|0.4838617|0.46677148","0.008333333333333333","0.008333333333333333","0.00833333333333|0.0166666666667|0","0.06388888888888888","0.00962250448649376","0.075|0.0583333333333|0.0583333333333","2"
"MZ_Hydro","B8_NoThinking","3","-186.33874050372594","10.487492844250598","-185.104934521|-197.388562466|-176.522724524","122.1156018630395","7.7271942057221485","118.909443638|130.929779531|116.507582421","798.314475064115","50.5752309614418","778.324569597|855.829494573|760.789361022","1.8333333333333333","1.6645820296198481","3.25|0|2.25","0.08333333333333336","0.1058989298025874","0.2025|0|0.0475","0.54","0.062449979983983994","0.59|0.47|0.56","108.30000000000003","5.604462507680828","107.4|103.2|114.3","42.0","22.271057451320086","22|38|66","0.006234953703703695","0.004738672052368109","0.000927083333333|0.00773784722222|0.0100399305556","0.0","0.0","0|0|0","14.809022222222223","0.1949752566804122","14.7339916667|14.6627083333|15.0303666667","14.396372275278637","10.030550113740055","25.9769585083|8.43446197333|8.77769634417","0.2604455933333334","0.0035643235004883043","0.25940824|0.25751502|0.26441352","0.0","0.0","0|0|0","0.12777777777777777","0.01924500897298752","0.116666666667|0.15|0.116666666667","0"
"MZ_Air","STANDARD","3","-535.0077786568012","6.91666336377347","-532.344973828|-542.860096262|-529.818265881","141.72182012873552","1.524556921190722","141.06948482|143.464009601|140.631965965","1326.7798231170698","11.702856855856826","1333.8069856|1333.26229606|1313.2701877","11.916666666666666","4.259792639710686","14.25|7|14.5","0.4541666666666666","0.09028888820521214","0.54|0.36|0.4625","0.6566666666666666","0.04163331998932265","0.67|0.69|0.61","508.5506666666669","97.76492960838935","396.332|575.3|554.02","294.3333333333333","39.272551907577046","249|316|318","0.044677089238467825","0.014039098774996796","0.0293573200113|0.0477462443311|0.056927703373","0.003373015873015873","0.003278315801956013","0.00178571428571|0.00119047619048|0.00714285714286","57.443353174603175","0.7631738268891661","56.7527559524|58.2627202381|57.3145833333","87.51256604107216","26.874323900565585","83.9094296696|116.006686396|62.6215820571","1.9412169466666669","0.03761185831927102","1.90830528|1.98221394|1.93313162","0.017857142857142856","0.021461614734904697","0.0119047619048|0.0416666666667|0","0.19444444444444445","0.017183043725881707","0.184523809524|0.214285714286|0.184523809524","0"
"MZ_Air","B1_WM0","3","-586.895904951226","29.920878881147786","-576.708073257|-620.580292236|-563.39934936","154.34162595875202","8.796468176279406","151.172628296|164.283513302|147.568736278","1432.6066150048373","67.75763086632222","1401.03878151|1510.38811603|1386.39294747","12.416666666666666","2.155419526062927","10.5|12|14.75","0.6308333333333335","0.05625462943912559","0.63|0.575|0.6875","0.6933333333333334","0.07023769168568493","0.7|0.62|0.76","606.1266666666669","100.60133663790629","614|501.82|702.56","294.6666666666667","62.29232162420448","314|225|345","0.043533375850332706","0.01440222180507736","0.0279601048753|0.0462673965419|0.0563726261338","0.004464285714285715","0.004384202340076261","0.00357142857143|0.000595238095238|0.00922619047619","46.32149603174603","1.1302293401968442","47.5849880952|45.9727857143|45.4067142857","109.74441194464278","26.379060911525265","137.804911768|105.976282515|85.45204155","1.6571953533333337","0.04999933004128115","1.70962288|1.65192076|1.61004242","0.007936507936507936","0.009092412093166349","0.00595238095238|0|0.0178571428571","0.14682539682539683","0.024056261216234408","0.172619047619|0.125|0.142857142857","1"
"MZ_Air","B2_WM2","3","-527.2344580450252","9.41123823578465","-516.681814184|-534.758597981|-530.26296197","139.3816790599111","2.8584178759241015","136.818239068|142.463991822|138.862806289","1312.542194920663","24.994464143959323","1291.1555303|1340.01888715|1306.45216731","9.25","1.3919410907075054","10.75|8|9","0.4491666666666667","0.14841523955892572","0.51|0.28|0.5575","0.6766666666666666","0.06658328118479392","0.6|0.72|0.71","443.0666666666669","79.66781114938036","412.66|383.08|533.46","281.3333333333333","47.899199714956964","229|292|323","0.05104938468442297","0.014746578233826479","0.0632453762755|0.0346603776927|0.055242400085","0.0030753968253968253","0.00181848241863327","0.00505952380952|0.0014880952381|0.00267857142857","67.1810119047619","0.864483209020939","67.8406547619|67.5000238095|66.2023571429","79.25301325892748","5.331534660702424","80.3661018589|83.9401353446|73.4528025732","2.164959626666667","0.03922535403325938","2.19797942|2.17529928|2.12160018","0.005952380952380952","0.005952380952380952","0|0.0119047619048|0.00595238095238","0.20833333333333334","0.005952380952380945","0.202380952381|0.214285714286|0.208333333333","2"
"MZ_Air","B3_WM3","3","-532.7542556093551","30.394664076882158","-533.305048823|-502.087938081|-562.869779924","140.54196077201712","5.731478862068304","141.922134753|134.24641307|145.457334492","1315.4017311902815","81.77878942915889","1313.10800052|1234.79393611|1398.30325695","11.75","2.947456530637899","11|9.25|15","0.5233333333333334","0.45094576540126546","0.3375|0.195|1.0375","0.6333333333333333","0.07571877794400365","0.6|0.58|0.72","533.2066666666668","89.40442121804341","595.46|430.76|573.4","301.6666666666667","11.50362261782493","302|313|290","0.056342557161743884","0.01487413434964776","0.0734706455499|0.0488791099773|0.046677915958","0.003670634920634921","0.0021530292077589987","0.0047619047619|0.00119047619048|0.00505952380952","76.22913492063492","0.8715996027016182","77.2355714286|75.7257321429|75.7261011905","91.21154899087223","14.155717024565119","90.79082155|105.572939734|77.2708856887","2.355767866666667","0.04704638711644607","2.41009202|2.32844052|2.32877106","0.01984126984126984","0.013746434980705375","0.0357142857143|0.0119047619048|0.0119047619048","0.2023809523809524","0.033141454540654904","0.232142857143|0.208333333333|0.166666666667","1"
