"case","method","metric","n","mean","sample_sd","values"
"MZ_Air","eRBC","energy_kwh","1","1357.0866245182806","","[1357.0866245182806]"
"MZ_Air","eRBC","discomfort_zone_hours","1","0.0","","[0.0]"
"MZ_Air","eRBC","discomfort_pmv_hours","1","0.0","","[0.0]"
"MZ_Air","eRBC","occupied_peak_absolute_pmv","1","0.5","","[0.5]"
"MZ_Air","eRBC","total_variation_c","1","362.6","","[362.6]"
"MZ_Air","eRBC","direction_reversals","1","75.0","","[75]"
"MZ_Air","eRBC","reward","1","-559.1299559533957","","[-559.1299559533957]"
"MZ_Air","MPC","total_cost","3","156.2408456553728","0.0","[156.2408456553728, 156.2408456553728, 156.2408456553728]"
"MZ_Air","MPC","energy_kwh","3","1395.238324762142","0.0","[1395.238324762142, 1395.238324762142, 1395.238324762142]"
"MZ_Air","MPC","discomfort_zone_hours","3","7.75","0.0","[7.75, 7.75, 7.75]"
"MZ_Air","MPC","discomfort_pmv_hours","3","0.5025000000000002","0.0","[0.5025000000000002, 0.5025000000000002, 0.5025000000000002]"
"MZ_Air","MPC","occupied_peak_absolute_pmv","3","0.79","0.0","[0.79, 0.79, 0.79]"
"MZ_Air","MPC","total_variation_c","3","789.593279907998","1.3923737144427707e-13","[789.5932799079981, 789.5932799079981, 789.5932799079981]"
"MZ_Air","MPC","direction_reversals","3","1149.0","0.0","[1149, 1149, 1149]"
"MZ_Air","MPC","reward","3","-595.7098295251194","0.0","[-595.7098295251194, -595.7098295251194, -595.7098295251194]"
"MZ_Air","PPO","total_cost","3","149.94069393936874","1.9592455535608722","[148.6994073039073, 152.19933870875226, 148.9233358054467]"
"MZ_Air","PPO","energy_kwh","3","1406.7548638460269","6.04727098632686","[1404.2098769722077, 1413.658677531434, 1402.3960370344394]"
"MZ_Air","PPO","discomfort_zone_hours","3","55.583333333333336","5.3870987862979955","[56.0, 50.0, 60.75]"
"MZ_Air","PPO","discomfort_pmv_hours","3","3.449999999999998","0.6378234473582792","[3.334999999999998, 2.877499999999998, 4.1374999999999975]"
"MZ_Air","PPO","occupied_peak_absolute_pmv","3","0.7000000000000001","0.051961524227066305","[0.64, 0.73, 0.73]"
"MZ_Air","PPO","total_variation_c","3","673.2175244949758","30.009635045078042","[664.2637820541859, 706.6849298216403, 648.7038616091013]"
"MZ_Air","PPO","direction_reversals","3","99.33333333333333","8.326663997864532","[102, 106, 90]"
"MZ_Air","PPO","reward","3","-607.4614256640511","9.951149470023141","[-597.7218936881186, -607.050896826718, -617.6114864773167]"
"MZ_Air","MAPPO","total_cost","3","147.8065603275036","7.607023734575003","[139.386418502275, 149.8503628286176, 154.18289965161827]"
"MZ_Air","MAPPO","energy_kwh","3","1508.9700433954886","63.85641571003092","[1436.5509969512373, 1533.169024939101, 1557.1901082961276]"
"MZ_Air","MAPPO","discomfort_zone_hours","3","36.25","28.76304052077944","[64.5, 37.25, 7.0]"
"MZ_Air","MAPPO","discomfort_pmv_hours","3","2.708333333333334","2.555730489181779","[5.335000000000001, 2.5600000000000005, 0.23000000000000012]"
"MZ_Air","MAPPO","occupied_peak_absolute_pmv","3","0.69","0.0818535277187245","[0.71, 0.76, 0.6]"
"MZ_Air","MAPPO","total_variation_c","3","1734.6065350459928","232.94440139420192","[1985.230777162942, 1524.7148000821471, 1693.874027892889]"
"MZ_Air","MAPPO","direction_reversals","3","1496.3333333333333","97.35159646011633","[1583, 1391, 1515]"
"MZ_Air","MAPPO","reward","3","-609.1378292908167","22.29770030731901","[-631.0673424658177, -609.8568125979566, -586.489332808676]"
"MZ_Air","Ours","total_cost","3","141.72182012873552","1.524556921190722","[141.0694848197105, 143.4640096013709, 140.63196596512518]"
"MZ_Air","Ours","energy_kwh","3","1326.7798231170698","11.702856855856826","[1333.8069855956103, 1333.2622960600163, 1313.2701876955823]"
"MZ_Air","Ours","discomfort_zone_hours","3","11.916666666666666","4.259792639710685","[14.25, 7.0, 14.5]"
"MZ_Air","Ours","discomfort_pmv_hours","3","0.4541666666666666","0.09028888820521214","[0.5399999999999996, 0.36000000000000004, 0.46250000000000024]"
"MZ_Air","Ours","occupied_peak_absolute_pmv","3","0.6566666666666666","0.04163331998932265","[0.67, 0.69, 0.61]"
"MZ_Air","Ours","total_variation_c","3","508.5506666666669","97.76492960838935","[396.3320000000003, 575.3000000000002, 554.0200000000002]"
"MZ_Air","Ours","direction_reversals","3","294.3333333333333","39.272551907577046","[249, 316, 318]"
"MZ_Air","Ours","reward","3","-535.0077786568012","6.91666336377347","[-532.3449738275593, -542.8600962616995, -529.8182658811446]"
