case,repeat,hour,zone,category,operation,status,program_version_before,program_version_after,program_hash_before,program_hash_after,transition_ok
MZ_Air,R02,77,sou,explicit_no_change,no_change,accepted,14,14,b722ac4385c82dff38140653769836ea14b91cf1fe850364ac7f4e3326e860bb,b722ac4385c82dff38140653769836ea14b91cf1fe850364ac7f4e3326e860bb,True
MZ_Air,R02,77,wes,explicit_no_change,no_change,accepted,18,18,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,True
MZ_Air,R02,78,cor,set_param,set_param,accepted,19,20,806833afb3b2d652a72dd57b374f2babc4cf9682a73f7f77b551b982f53786c2,1ab6d680358845b001a9f0ddaa8a81477b188c3b952d6874e9cf3b7906a8be14,True
MZ_Air,R02,78,nor,replace_rule,replace_rule,accepted,22,23,460624aec7f470dbbd7cb94536faf1a1f2401f86b4a27d26e407775580dbe594,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,True
MZ_Air,R02,78,eas,explicit_no_change,no_change,accepted,29,29,13c626927c2046a9cca572c1c68be836485e97b6b191ad6dd41db6b24d654c1c,13c626927c2046a9cca572c1c68be836485e97b6b191ad6dd41db6b24d654c1c,True
MZ_Air,R02,78,sou,explicit_no_change,no_change,accepted,14,14,b722ac4385c82dff38140653769836ea14b91cf1fe850364ac7f4e3326e860bb,b722ac4385c82dff38140653769836ea14b91cf1fe850364ac7f4e3326e860bb,True
MZ_Air,R02,78,wes,explicit_no_change,no_change,accepted,18,18,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,True
MZ_Air,R02,79,cor,explicit_no_change,no_change,accepted,20,20,1ab6d680358845b001a9f0ddaa8a81477b188c3b952d6874e9cf3b7906a8be14,1ab6d680358845b001a9f0ddaa8a81477b188c3b952d6874e9cf3b7906a8be14,True
MZ_Air,R02,79,eas,explicit_no_change,no_change,accepted,29,29,13c626927c2046a9cca572c1c68be836485e97b6b191ad6dd41db6b24d654c1c,13c626927c2046a9cca572c1c68be836485e97b6b191ad6dd41db6b24d654c1c,True
MZ_Air,R02,79,nor,explicit_no_change,no_change,accepted,23,23,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,True
MZ_Air,R02,79,sou,explicit_no_change,no_change,accepted,14,14,b722ac4385c82dff38140653769836ea14b91cf1fe850364ac7f4e3326e860bb,b722ac4385c82dff38140653769836ea14b91cf1fe850364ac7f4e3326e860bb,True
MZ_Air,R02,79,wes,explicit_no_change,no_change,accepted,18,18,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,True
MZ_Air,R02,80,cor,explicit_no_change,no_change,accepted,20,20,1ab6d680358845b001a9f0ddaa8a81477b188c3b952d6874e9cf3b7906a8be14,1ab6d680358845b001a9f0ddaa8a81477b188c3b952d6874e9cf3b7906a8be14,True
MZ_Air,R02,80,eas,explicit_no_change,no_change,accepted,29,29,13c626927c2046a9cca572c1c68be836485e97b6b191ad6dd41db6b24d654c1c,13c626927c2046a9cca572c1c68be836485e97b6b191ad6dd41db6b24d654c1c,True
MZ_Air,R02,80,nor,explicit_no_change,no_change,accepted,23,23,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,True
MZ_Air,R02,80,sou,explicit_no_change,no_change,accepted,14,14,b722ac4385c82dff38140653769836ea14b91cf1fe850364ac7f4e3326e860bb,b722ac4385c82dff38140653769836ea14b91cf1fe850364ac7f4e3326e860bb,True
MZ_Air,R02,80,wes,explicit_no_change,no_change,accepted,18,18,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,True
MZ_Air,R02,81,eas,set_param,set_param,accepted,29,30,13c626927c2046a9cca572c1c68be836485e97b6b191ad6dd41db6b24d654c1c,219ac41afef5f75466696bde3ff142f36e7b916ad963177b10f8378ffdb7f4d6,True
MZ_Air,R02,81,cor,set_param,set_param,accepted,20,21,1ab6d680358845b001a9f0ddaa8a81477b188c3b952d6874e9cf3b7906a8be14,bf2daa59dc6f9fbef9f3da646e24e7932eb6d434b05fe9dceedafa85477292b0,True
MZ_Air,R02,81,sou,replace_rule,replace_rule,accepted,14,15,b722ac4385c82dff38140653769836ea14b91cf1fe850364ac7f4e3326e860bb,23b34c0eae6569899b2f33c0176f281a0a69855fe8ba59f4057729b142d75681,True
MZ_Air,R02,81,nor,deterministic_rejection,set_param,rejected,23,23,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,True
MZ_Air,R02,81,wes,set_param,set_param,accepted,18,19,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,0125b2cdff977006de56611eb876bf92700eddaedb99f74d807a34f3a54387a5,True
MZ_Air,R02,82,sou,set_param,set_param,accepted,15,16,23b34c0eae6569899b2f33c0176f281a0a69855fe8ba59f4057729b142d75681,620025b019f15766644f0468adb6ffe1c2891ff21f21e7e13c6e83ba10bd3fb2,True
MZ_Air,R02,82,cor,deterministic_rejection,replace_rule,rejected,21,21,bf2daa59dc6f9fbef9f3da646e24e7932eb6d434b05fe9dceedafa85477292b0,bf2daa59dc6f9fbef9f3da646e24e7932eb6d434b05fe9dceedafa85477292b0,True
MZ_Air,R02,82,nor,explicit_no_change,no_change,accepted,23,23,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,True
MZ_Air,R02,82,wes,set_param,set_param,accepted,19,20,0125b2cdff977006de56611eb876bf92700eddaedb99f74d807a34f3a54387a5,d34b3aaa4a369d7dcd4792cc8d99d390858adcfc2d6d1678b8e5ab0aead26a33,True
MZ_Air,R02,82,eas,set_param,set_param,accepted,30,31,219ac41afef5f75466696bde3ff142f36e7b916ad963177b10f8378ffdb7f4d6,1ee6240f72eced199c4686632172ace2000d17caacd62a4ebc54acc37275ca95,True
MZ_Air,R02,83,nor,add_rule,add_rule,accepted,23,24,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,7c23f975c82e8084471f5cac1876a7f0ac4a69528ea8e2f559e09d9a8df792c1,True
MZ_Air,R02,83,eas,set_param,set_param,accepted,31,32,1ee6240f72eced199c4686632172ace2000d17caacd62a4ebc54acc37275ca95,f0a3f1648080ebcd124359daa220208fee61932c076ba2a77f71c16e57105e16,True
MZ_Air,R02,83,cor,deterministic_rejection,set_param,rejected,21,21,bf2daa59dc6f9fbef9f3da646e24e7932eb6d434b05fe9dceedafa85477292b0,bf2daa59dc6f9fbef9f3da646e24e7932eb6d434b05fe9dceedafa85477292b0,True
MZ_Air,R02,83,wes,set_param,set_param,accepted,20,21,d34b3aaa4a369d7dcd4792cc8d99d390858adcfc2d6d1678b8e5ab0aead26a33,0125b2cdff977006de56611eb876bf92700eddaedb99f74d807a34f3a54387a5,True
MZ_Air,R02,83,sou,replace_rule,replace_rule,accepted,16,17,620025b019f15766644f0468adb6ffe1c2891ff21f21e7e13c6e83ba10bd3fb2,9d358e3c4b76fccde8a921676d08ae0d80a789645341f1edc112b5d620948e4d,True
MZ_Air,R02,84,cor,deterministic_rejection,replace_rule,rejected,21,21,bf2daa59dc6f9fbef9f3da646e24e7932eb6d434b05fe9dceedafa85477292b0,bf2daa59dc6f9fbef9f3da646e24e7932eb6d434b05fe9dceedafa85477292b0,True
MZ_Air,R02,84,wes,deterministic_rejection,add_rule,rejected,21,21,0125b2cdff977006de56611eb876bf92700eddaedb99f74d807a34f3a54387a5,0125b2cdff977006de56611eb876bf92700eddaedb99f74d807a34f3a54387a5,True
MZ_Air,R02,84,eas,set_param,set_param,accepted,32,33,f0a3f1648080ebcd124359daa220208fee61932c076ba2a77f71c16e57105e16,e5adf29fae493c68aad8b537ad196ef42ab3696c1f21f54e698804d047a56011,True
